[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run ParseTemplate Behavior [ RunTime:0.019575s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019772s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Tag[ view_filter ] --START--
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run ContentReplace Behavior [ RunTime:0.000897s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run TokenBuild Behavior [ RunTime:0.000900s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000385s ]
[ 2015-02-12T12:35:38+08:00 ] /xxx/admin.php/Article/delete/id/4 | INFO: Run ShowRuntime Behavior [ RunTime:0.000662s ]
