[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run ParseTemplate Behavior [ RunTime:0.022737s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022928s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_filter ] --START--
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run ContentReplace Behavior [ RunTime:0.001623s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run TokenBuild Behavior [ RunTime:0.000949s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000561s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run ShowRuntime Behavior [ RunTime:0.000902s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004436s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_end ] --START--
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000825s ]
[ 2015-02-12T15:15:42+08:00 ] /xxx/admin.php/Lab/edit/id/18 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000946s ]
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | INFO: Tag[ route_check ] --START--
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | INFO: Run CheckRoute Behavior [ RunTime:0.001461s ]
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | INFO: Tag[ route_check ] --END-- [ RunTime:0.001697s ]
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001274s ]
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001416s ]
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T15:15:54+08:00 ] /xxx/admin.php/Lab/update | SQL: SHOW COLUMNS FROM `think_admin` [ RunTime:0.002937s ]
